source1_entity_id	matched_entity_ids
S1-945437722	S2-337628826,S3-570426744
S1-935703127	S2-839058520,S2-261786236,S2-351235736,S3-695941880
S1-134898809	S2-156312637,S2-733711701,S3-994371548,S3-882276216,S3-307933717
S1-602913883	S2-880137000,S2-837366545,S3-664599872,S3-956365580
S1-965549055	S2-71831978,S2-147779226,S3-537422052,S3-47511318
S1-20267366	
S1-223600564	
S1-417074218	S2-776251876,S3-171555434,S3-387274034,S3-804702164
S1-173971969	S2-292981300,S3-165312490,S3-210351517
S1-564729135	S2-327309238,S2-256254095,S3-209102076,S3-549899758,S3-165493359,S3-912418512
S1-68201540	S2-289059559,S3-454778716,S3-509801092
S1-785847572	S2-682432196,S3-943437724,S3-145991649,S3-948163592
